text,label
"I am extremely happy with this service",2
"I absolutely love how smooth this platform is",2
"This feature works perfectly for my needs",2
"The latest update has improved performance significantly",2
"I am very satisfied with the support team",2
"This solution exceeded my expectations",2
"Great experience so far",2
"The product quality is impressive",2
"I appreciate the quick resolution of my issue",2
"This is one of the best tools we have used",2
"I am pleased with the overall functionality",2
"The interface is clean and intuitive",2
"Everything is working flawlessly",2
"The customer support was very helpful",2
"This upgrade made things much better",2
"I would definitely recommend this service",2
"The integration process was smooth",2
"I am happy with the results",2
"The performance is excellent",2
"This has made our workflow easier",2

"It is okay nothing special",1
"The service works as expected",1
"There are no major issues right now",1
"It is functioning normally",1
"The feature is decent but could be better",1
"I have no strong opinion about it",1
"It meets the basic requirements",1
"This is fine for now",1
"Everything seems average",1
"It works but needs improvement",1
"The experience is neither good nor bad",1
"It does the job",1
"I am using it without any major problems",1
"The performance is acceptable",1
"There is room for improvement",1
"It is manageable",1
"Nothing impressive but not bad either",1
"The system is stable at the moment",1
"It behaves as documented",1
"Overall it is satisfactory",1

"This is terrible and frustrating",0
"Your product is useless",0
"I hate this service",0
"This is the worst experience I have had",0
"I am very disappointed with the quality",0
"The system keeps crashing repeatedly",0
"This update broke everything",0
"I am not happy with this service",0
"The support team is not responding",0
"This feature is completely broken",0
"I regret using this platform",0
"The performance is extremely poor",0
"This is unacceptable",0
"I am angry about this issue",0
"The app is unreliable",0
"I wasted my time on this",0
"Nothing is working properly",0
"The experience has been awful",0
"This is very disappointing",0
"I am frustrated with the constant errors",0